occupantID,zoneID,occupantName,occupantRole,comfortPreference
O1576,Z116,Michael Rasmussen,Technician,77.1
O1577,Z052,Andrew Davis,Employee,73.1
O1578,Z052,Taylor Barrett,Contractor,74.0
O1579,Z052,Jennifer Beck PhD,Executive,73.7
O1580,Z052,Karen Armstrong,Specialist,73.3
O1581,Z052,Stephanie Taylor,Executive,76.1
O1582,Z052,Juan Manning,Coordinator,70.0
O1583,Z052,John Turner,Coordinator,76.3
O1584,Z052,Benjamin Jones,Employee,68.4
O1585,Z052,Natasha Baker,Guest,72.4
O1586,Z052,Justin Williams,Manager,69.8
O1587,Z052,Julie Baker,Manager,75.0
O1588,Z682,Regina Ortiz,Employee,70.5
O1589,Z682,Barbara Moreno,Manager,68.6
O1590,Z682,Sue Duke,Guest,70.6
O1591,Z682,Kathleen Campbell,Employee,73.7
O1592,Z682,Danielle Gray,Technician,76.7
O1593,Z682,Brandon Trevino,Director,71.1
O1594,Z682,Thomas David,Executive,73.5
O1595,Z682,Courtney Pitts,Manager,68.2
O1596,Z682,Brian Young,Admin,69.2
O1597,Z682,Nicholas Lopez,Engineer,76.8
O1598,Z682,William Jordan,Guest,71.5
O1599,Z682,Tyler Rogers,Engineer,73.0
O1600,Z682,Erin Bates,Admin,68.8
O1601,Z682,Caroline Nguyen,Admin,76.2
O1602,Z177,Zoe Thompson,Guest,68.5
O1603,Z177,Mr. Jack Adams,Researcher,77.7
O1604,Z177,John Ray,Admin,75.3
O1605,Z177,Jordan Ortega,Director,74.0
O1606,Z177,Carla Thompson,Specialist,68.6
O1607,Z177,Bryce Cook,Executive,73.5
O1608,Z177,David Andrews,Director,69.8
O1609,Z177,Laura Mullins,Engineer,74.1
O1610,Z177,Zachary Reid,Guest,69.3
O1611,Z177,Hannah Reeves,Contractor,70.2
O1612,Z076,Anthony Dillon,Manager,75.0
O1613,Z076,Timothy Scott,Director,71.4
O1614,Z076,Sabrina Phillips,Analyst,77.1
O1615,Z076,Brian Wallace,Visitor,70.2
O1616,Z076,Jonathan Cox,Specialist,74.0
O1617,Z076,Tonya Green,Researcher,73.0
O1618,Z076,Bailey Dalton,Admin,72.8
O1619,Z831,Stacy Price,Contractor,75.6
O1620,Z831,Brian Rush,Technician,76.4
O1621,Z831,Tonya Arellano,Contractor,73.3
O1622,Z831,Karla Ramirez,Contractor,75.5
O1623,Z831,Brian Villarreal,Executive,71.6
O1624,Z831,Mark Clark,Engineer,71.7
O1625,Z831,Johnathan Walls,Visitor,70.2
O1626,Z831,Laura Thomas,Engineer,73.8
O1627,Z831,Christopher Meyers,Engineer,72.6
O1628,Z831,Thomas Powell,Manager,75.5
O1629,Z831,Brittany Cole,Engineer,74.2
O1630,Z690,Wendy Simmons,Admin,75.7
O1631,Z690,Barbara Schroeder,Guest,73.8
O1632,Z690,John Clark,Coordinator,74.4
O1633,Z690,Gregory Johnson,Coordinator,76.6
O1634,Z690,Teresa Garcia,Executive,74.0
O1635,Z690,Ashley Warren,Director,75.6
O1636,Z164,Sandra Hobbs,Coordinator,76.6
O1637,Z164,Gregg Nguyen,Engineer,73.0
O1638,Z164,Jonathan Harrington,Coordinator,76.2
O1639,Z863,Paige Jones,Admin,74.9
O1640,Z863,Timothy Ayers,Contractor,71.6
O1641,Z863,Carly Hayes,Guest,76.5
O1642,Z863,Kristen Andrews,Technician,77.8
O1643,Z863,Kevin Jenkins,Analyst,75.9
O1644,Z863,Tiffany Page,Guest,75.7
O1645,Z863,Amanda Navarro,Visitor,74.1
O1646,Z863,Maria Elliott,Manager,74.0
O1647,Z863,Gary Gates,Coordinator,70.9
O1648,Z863,Brian Ibarra,Admin,70.4
O1649,Z863,Jennifer Graham,Employee,68.0
O1650,Z863,David Martin,Manager,75.3
O1651,Z298,Jill Santiago,Analyst,74.2
O1652,Z298,Chelsea Hayes,Executive,70.0
O1653,Z298,Rachel Reid,Admin,77.4
O1654,Z298,Susan Andrews,Visitor,71.4
O1655,Z298,Erik Moore,Visitor,73.0
O1656,Z298,Carly Scott,Admin,72.6
O1657,Z298,Cynthia Morales,Technician,72.3
O1658,Z298,Mrs. Sherry Stephens,Executive,77.2
O1659,Z298,Pamela Fisher,Employee,76.9
O1660,Z298,Luis Thomas,Specialist,70.3
O1661,Z298,Amy Black,Coordinator,76.5
O1662,Z013,Veronica Martin,Analyst,69.7
O1663,Z013,Alexander Mccall,Contractor,74.4
O1664,Z013,Johnny White,Guest,70.6
O1665,Z013,James Valencia,Admin,77.7
O1666,Z013,Elizabeth Carpenter,Executive,72.8
O1667,Z013,Janet Johnson,Executive,68.6
O1668,Z013,Lisa Hunt,Coordinator,71.0
O1669,Z013,Jeffrey Jackson,Manager,76.6
O1670,Z013,Julie Williams,Coordinator,73.5
O1671,Z013,Alexis Boyd,Admin,69.6
O1672,Z013,Seth Brennan,Analyst,70.7
O1673,Z013,Michael Gutierrez,Contractor,73.3
O1674,Z013,Heather Avery DDS,Guest,77.8
O1675,Z013,Ricky Daniels,Visitor,70.2
O1676,Z013,William Yates,Engineer,70.9
O1677,Z351,Michael Fleming,Analyst,68.4
O1678,Z351,Shelley Simmons,Visitor,71.7
O1679,Z351,Peter Herrera,Director,77.1
O1680,Z238,Michelle Trujillo,Analyst,72.3
O1681,Z552,Sandra Mcdonald,Employee,71.0
O1682,Z552,Ryan Henry,Technician,71.3
O1683,Z552,Steven Mills,Coordinator,69.7
O1684,Z552,Charlene Frost,Analyst,77.2
O1685,Z552,Diane Webster,Admin,75.6
O1686,Z552,John Ortiz,Analyst,72.1
O1687,Z552,Mr. Danny Garcia MD,Director,70.6
O1688,Z552,Jennifer Moore,Admin,70.2
O1689,Z552,Kelly Hunter,Engineer,69.6
O1690,Z552,Mary Harris,Contractor,77.9
O1691,Z552,Elijah Wheeler,Executive,74.9
O1692,Z552,Jesse Shepard MD,Employee,68.3
O1693,Z552,Stephanie Todd,Specialist,77.1
O1694,Z552,Ryan Hansen,Guest,74.4
O1695,Z225,Brent Cruz,Manager,68.6
O1696,Z225,Linda Swanson,Contractor,73.2
O1697,Z225,Austin Knapp,Employee,73.9
O1698,Z225,Teresa Jones,Admin,75.7
O1699,Z225,Brian Hodges,Executive,76.5
O1700,Z225,Shawn Hickman,Contractor,76.7
O1701,Z225,Amanda Spencer,Engineer,72.9
O1702,Z225,Patricia Cohen MD,Visitor,74.5
O1703,Z225,Michael Silva,Contractor,72.1
O1704,Z225,Aaron Morris,Executive,70.7
O1705,Z627,Virginia Jordan,Employee,72.1
O1706,Z627,Andrew Jimenez,Visitor,71.6
O1707,Z627,Lance Parrish,Contractor,69.7
O1708,Z458,Christopher Ortega,Manager,69.9
O1709,Z458,Mariah Pope,Analyst,77.7
O1710,Z458,Lisa Spencer,Guest,71.0
O1711,Z219,Brett Gutierrez,Researcher,70.5
O1712,Z219,Deanna Reilly,Analyst,68.1
O1713,Z219,Morgan Williamson,Admin,75.1
O1714,Z219,Charles Santos,Contractor,73.3
O1715,Z219,Thomas Guerrero,Guest,73.7
O1716,Z219,Janet Martin,Researcher,71.8
O1717,Z219,Gary Jimenez,Admin,72.5
O1718,Z219,Robert Harris,Analyst,75.0
O1719,Z219,Nicole Tate,Admin,70.6
O1720,Z219,Jennifer Waller,Admin,77.3
O1721,Z729,Adriana Campbell,Analyst,72.0
O1722,Z729,Ms. Kim Reese DDS,Visitor,70.7
O1723,Z729,Tammy Duran,Manager,68.4
O1724,Z729,Krystal Miller,Admin,74.4
O1725,Z729,Sarah Rivera,Guest,70.8
O1726,Z729,Cesar Scott,Researcher,73.5
O1727,Z729,Gerald Adams,Contractor,71.2
O1728,Z729,Laurie Espinoza,Manager,71.4
O1729,Z729,Karen Cabrera,Specialist,73.6
O1730,Z729,Corey Horne,Admin,75.4
O1731,Z729,Paul Melendez,Director,70.8
O1732,Z729,Melissa Brown,Manager,71.4
O1733,Z729,Kathryn Williams,Guest,72.4
O1734,Z729,Jennifer Hicks,Specialist,72.5
O1735,Z403,Amanda Williams,Engineer,69.2
O1736,Z403,Dylan Johnson,Manager,73.3
O1737,Z403,Jessica Burton,Employee,70.4
O1738,Z806,William Perez,Guest,69.0
O1739,Z806,James Garcia,Admin,72.4
O1740,Z806,Mathew Davis,Admin,74.3
O1741,Z806,Steven Gould,Researcher,68.4
O1742,Z806,Catherine White,Specialist,69.2
O1743,Z806,Aaron Clark,Employee,74.3
O1744,Z349,Rodney Wang,Guest,75.5
O1745,Z349,Katrina English,Employee,76.1
O1746,Z349,Omar Cooper,Employee,68.5
O1747,Z349,Joseph Morales,Analyst,77.6
O1748,Z349,Ann Brown,Specialist,76.4
O1749,Z349,Catherine Strong,Coordinator,77.6
O1750,Z349,Denise Davis,Director,77.2
O1751,Z349,Maria Hughes,Contractor,77.0
O1752,Z349,Paul Boyle,Engineer,77.3
O1753,Z349,Raven Andrews,Admin,72.2
O1754,Z349,Ryan Johnson,Executive,70.2
O1755,Z349,Kim Owens,Director,72.3
O1756,Z084,Daniel Orr,Coordinator,77.4
O1757,Z084,Jessica Little,Director,74.7
O1758,Z084,Cameron Reyes,Guest,76.7
O1759,Z084,Kayla Johnson,Engineer,73.2
O1760,Z084,Ebony Fitzpatrick MD,Researcher,72.3
O1761,Z084,Diana Carson,Manager,69.5
O1762,Z084,Sarah Wilkins,Director,68.5
O1763,Z084,Dr. Michael Oconnor,Visitor,78.0
O1764,Z288,Christian Wilkins,Coordinator,68.6
O1765,Z288,Linda Schneider,Coordinator,74.9
O1766,Z288,Jacob Wade,Executive,76.8
O1767,Z288,Jesse Waters,Guest,77.0
O1768,Z288,Eugene Whitaker,Guest,71.0
O1769,Z288,Dawn Hendricks,Director,72.7
O1770,Z288,Christopher Ramirez PhD,Specialist,73.1
O1771,Z288,Sandra Woods,Contractor,69.2
O1772,Z288,Eric Bishop,Coordinator,76.0
O1773,Z288,Leah Cervantes,Executive,72.4
O1774,Z087,John Gordon,Admin,77.7
O1775,Z087,Scott Zuniga,Guest,73.8
O1776,Z087,David Lawson,Researcher,77.3
O1777,Z303,Donna Hernandez,Guest,76.8
O1778,Z303,Raymond Hamilton,Researcher,74.4
O1779,Z303,William Martin,Admin,71.0
O1780,Z704,Virginia Abbott,Technician,75.5
O1781,Z704,Annette Ford,Executive,69.9
O1782,Z704,Erica Rogers,Analyst,71.2
O1783,Z899,Frank Thompson,Employee,77.8
O1784,Z762,Sarah Kemp,Employee,77.9
O1785,Z762,Joseph Mckee,Analyst,75.8
O1786,Z762,Brittany Hurst,Admin,70.6
O1787,Z762,Jason Jones,Guest,74.0
O1788,Z762,Jerry Cohen,Employee,69.7
O1789,Z762,Brenda Lamb,Executive,76.7
O1790,Z762,James Ford,Admin,71.4
O1791,Z762,Emily Matthews,Manager,72.0
O1792,Z762,Miss Gina Butler MD,Coordinator,72.4
O1793,Z762,Gregory Williams,Engineer,68.4
O1794,Z955,Richard Obrien,Specialist,71.9
O1795,Z192,Crystal Conley,Visitor,74.2
O1796,Z192,Kathy Davis,Technician,70.3
O1797,Z837,Jim Johnson,Manager,76.8
O1798,Z837,Mr. Derek Williams,Specialist,77.1
O1799,Z837,Jessica Blackburn,Visitor,72.0
O1800,Z837,James Luna,Researcher,75.3
O1801,Z837,Tracy Riley,Guest,75.0
O1802,Z060,Corey Lopez,Guest,71.4
O1803,Z060,Sharon Lowery,Employee,70.9
O1804,Z060,Lauren Patterson,Technician,71.8
O1805,Z060,Peter Yang,Contractor,74.7
O1806,Z060,Ashley Murphy,Contractor,68.3
O1807,Z060,Anthony Grant,Specialist,77.2
O1808,Z060,Kaylee House,Coordinator,74.8
O1809,Z060,Thomas Gonzales,Manager,76.2
O1810,Z060,Amanda Bradley,Researcher,72.1
O1811,Z060,Christine Oconnor,Engineer,71.6
O1812,Z060,Stephanie Williams,Analyst,72.2
O1813,Z060,Joshua Martinez,Executive,72.1
O1814,Z151,Kyle Cox,Specialist,73.2
O1815,Z151,Jennifer James,Executive,70.7
O1816,Z151,Ruth Fisher,Guest,76.7
O1817,Z151,Danielle Anderson,Visitor,75.8
O1818,Z151,Robert Romero,Coordinator,77.5
O1819,Z151,Kyle Jones,Coordinator,77.3
O1820,Z151,Michael Williams,Technician,72.4
O1821,Z151,Mary Newman,Director,68.0
O1822,Z151,James Brown,Manager,73.8
O1823,Z151,Jaclyn Cooper,Manager,77.0
O1824,Z151,Donna Summers,Researcher,77.5
O1825,Z151,Denise Wood,Contractor,72.0
O1826,Z151,Randy Thompson,Executive,70.2
O1827,Z470,Jonathan Stone,Guest,71.4
O1828,Z470,Sheila Nicholson,Analyst,77.9
O1829,Z470,Mrs. Lori Ferguson DDS,Manager,77.8
O1830,Z470,Timothy Moses,Director,74.6
O1831,Z470,Emma Johnson,Manager,68.7
O1832,Z470,Hailey Fisher,Coordinator,77.6
O1833,Z470,Samantha Harris,Admin,72.5
O1834,Z470,Evelyn Ray,Admin,74.2
O1835,Z470,John Lawrence,Director,75.9
O1836,Z470,Mary Molina,Employee,68.1
O1837,Z470,Tiffany Mcdaniel,Guest,74.4
O1838,Z470,Miss Suzanne Evans,Specialist,77.3
O1839,Z033,Leslie Smith,Coordinator,69.3
O1840,Z033,Jessica Armstrong,Technician,71.4
O1841,Z033,Shawn Allen,Admin,69.8
O1842,Z033,Joshua Foster,Analyst,68.8
O1843,Z033,Cody Brown,Executive,74.5
O1844,Z033,Jennifer White,Admin,69.3
O1845,Z033,Marisa Sanchez,Admin,74.2
O1846,Z529,Michelle Austin,Manager,68.5
O1847,Z529,Elizabeth Murray,Contractor,74.7
O1848,Z529,Gerald Williamson,Contractor,69.3
O1849,Z529,Brittany Roy,Researcher,77.6
O1850,Z529,Jose Shelton,Guest,74.6
O1851,Z529,Leonard Ford,Executive,74.7
O1852,Z851,Jason Downs,Manager,73.6
O1853,Z851,Nancy Adkins,Director,73.0
O1854,Z851,Mark Garcia,Contractor,72.8
O1855,Z851,Tiffany Baker,Visitor,77.1
O1856,Z851,Jordan Ware,Visitor,72.9
O1857,Z851,Christy Hill,Contractor,70.2
O1858,Z851,Robert Jones,Employee,71.1
O1859,Z851,William Marquez,Specialist,77.7
O1860,Z851,Adam Obrien,Technician,77.4
O1861,Z851,Jessica Taylor,Executive,68.4
O1862,Z851,John Roach,Engineer,71.5
O1863,Z308,Laura Long,Contractor,70.2
O1864,Z308,Caitlin Farmer,Technician,75.0
O1865,Z308,Elizabeth Peters,Technician,68.2
O1866,Z308,Shane Payne,Researcher,69.1
O1867,Z308,Jennifer Melton,Manager,71.4
O1868,Z308,Marie Ellis,Admin,73.2
O1869,Z363,Bailey Thompson,Coordinator,73.3
O1870,Z363,Margaret Phelps,Researcher,73.6
O1871,Z363,Brittany Gardner,Manager,71.8
O1872,Z363,Emily Neal,Visitor,75.9
O1873,Z363,Kathleen Lynch,Analyst,68.5
O1874,Z363,Randy Robinson,Guest,77.0
O1875,Z363,Mrs. Andrea Fisher,Executive,72.9
O1876,Z397,Julie Torres,Contractor,68.8
O1877,Z397,Jean Young,Researcher,72.9
O1878,Z397,Cheryl Acosta,Visitor,75.9
O1879,Z397,Benjamin Moore,Director,70.1
O1880,Z526,Todd Irwin,Specialist,73.6
O1881,Z526,Christina Martin,Director,69.7
O1882,Z526,Tony Stephenson,Guest,73.6
O1883,Z526,Jeffrey Sanchez,Visitor,71.9
O1884,Z382,Jessica Hall,Admin,74.9
O1885,Z382,Marcus Chen,Employee,74.5
O1886,Z382,Jason Santiago,Visitor,72.3
O1887,Z382,Robert Rice,Manager,71.7
O1888,Z382,Linda Huber,Admin,70.8
O1889,Z382,Glen Gentry,Employee,69.3
O1890,Z382,Pamela Oconnell,Coordinator,74.5
O1891,Z382,Ethan Macdonald,Admin,77.5
O1892,Z382,Brooke West,Contractor,74.8
O1893,Z382,Jared George,Admin,75.1
O1894,Z885,Crystal Guzman,Guest,72.3
O1895,Z885,David Lambert,Contractor,70.8
O1896,Z839,Heidi Owens,Coordinator,69.4
O1897,Z839,Matthew Jones,Analyst,73.1
O1898,Z839,Diana Fischer,Admin,72.3
O1899,Z839,Steven Henry,Executive,77.7
O1900,Z839,Claire Robbins,Engineer,74.2
O1901,Z839,Danielle Ramirez,Specialist,73.9
O1902,Z839,Nathan Bender,Employee,68.4
O1903,Z839,Mitchell Bradley,Visitor,73.2
O1904,Z839,Andrew Li,Guest,69.4
O1905,Z839,Lori Fletcher,Coordinator,73.8
O1906,Z839,Shannon Cortez,Coordinator,73.7
O1907,Z839,Charles Castro,Engineer,70.5
O1908,Z839,Brett Erickson,Executive,76.6
O1909,Z839,Matthew Reed,Guest,69.8
O1910,Z839,Mark Rogers,Researcher,75.1
O1911,Z389,Jason White,Engineer,71.5
O1912,Z389,Matthew Wilson,Engineer,76.4
O1913,Z389,Michael Dickerson,Technician,76.9
O1914,Z389,Alexander Davis MD,Coordinator,68.4
O1915,Z389,Zachary Wells,Manager,76.0
O1916,Z389,Lauren Fry,Technician,76.0
O1917,Z389,Gregory Ponce,Technician,76.5
O1918,Z389,Nicholas Sanchez,Technician,70.6
O1919,Z389,Brian Jenkins,Coordinator,77.5
O1920,Z389,Patrick Alvarez,Visitor,76.4
O1921,Z389,Bruce Delgado,Visitor,70.0
O1922,Z902,Ashley Williams,Visitor,75.3
O1923,Z902,Elizabeth Ford,Visitor,76.3
O1924,Z902,Jessica Stevens,Executive,72.6
O1925,Z902,Hayley Torres,Analyst,74.3
O1926,Z902,Robert Welch,Director,76.6
O1927,Z902,Laura Grimes,Visitor,69.9
O1928,Z902,Linda Rodgers,Director,77.6
O1929,Z902,Ryan Pittman,Employee,76.2
O1930,Z902,Lynn Munoz,Executive,74.9
O1931,Z902,Willie Baldwin,Engineer,76.9
O1932,Z902,Jonathon Rogers,Admin,74.0
O1933,Z902,Cole Hubbard,Coordinator,77.3
O1934,Z902,Sonia Phillips,Manager,74.5
O1935,Z902,Leslie Chen,Engineer,70.6
O1936,Z250,Devin Young,Admin,69.9
O1937,Z250,Nathaniel Hernandez,Guest,69.2
O1938,Z300,Edward Gomez,Director,74.4
O1939,Z300,Melissa Hill,Engineer,77.8
O1940,Z300,Jesse Miller,Visitor,70.7
O1941,Z300,Amy Lambert,Admin,71.0
O1942,Z300,Mary Chambers,Guest,77.1
O1943,Z300,David Smith,Coordinator,77.6
O1944,Z300,April Anderson,Engineer,68.7
O1945,Z300,Wanda Lindsey,Researcher,75.7
O1946,Z300,Sean Liu,Contractor,68.7
O1947,Z300,Tina Jones,Technician,72.4
O1948,Z300,Darrell Martin,Executive,77.9
O1949,Z577,Craig Anderson,Employee,69.2
O1950,Z577,Mark Donaldson,Researcher,76.4
O1951,Z577,Katherine Booker,Guest,75.2
O1952,Z577,Thomas Sanchez,Researcher,69.7
O1953,Z050,April Mason,Visitor,78.0
O1954,Z050,Kari Lawrence,Contractor,72.1
O1955,Z050,Amanda Baker,Researcher,71.2
O1956,Z050,Daniel Watson,Visitor,75.1
O1957,Z050,Mr. Cody Long,Employee,77.8
O1958,Z050,Mrs. Nicole Cox,Guest,76.0
O1959,Z050,Danielle Marks,Analyst,72.3
O1960,Z050,Michael Thomas,Engineer,76.2
O1961,Z050,Wayne Peterson,Admin,75.8
O1962,Z050,Brady Haas,Manager,75.3
O1963,Z050,Nancy Flores,Contractor,72.6
O1964,Z050,Jessica Shelton,Coordinator,76.6
O1965,Z276,Joseph Williams,Employee,72.3
O1966,Z276,Jason Elliott,Specialist,76.8
O1967,Z276,Garrett Webb DDS,Analyst,71.8
O1968,Z276,Kaitlyn Johnson,Researcher,70.6
O1969,Z276,Sara Taylor,Researcher,77.5
O1970,Z276,Ashley Allen,Analyst,74.1
O1971,Z276,Andrew Carr,Analyst,69.0
O1972,Z276,Eric Brown,Analyst,69.7
O1973,Z276,Andrew Burke,Employee,74.1
O1974,Z276,Evan Chandler,Director,76.0
O1975,Z276,Hannah Hanna,Analyst,69.9
O1976,Z801,Joseph Smith,Visitor,76.3
O1977,Z801,Vincent Davis,Manager,73.1
O1978,Z512,Rebecca Edwards,Coordinator,77.6
O1979,Z512,Clarence Jones,Specialist,71.3
O1980,Z512,Marcus James,Manager,72.0
O1981,Z512,Kimberly Williams,Guest,76.6
O1982,Z512,Juan Robinson,Executive,73.9
O1983,Z512,Robert Stevens,Executive,74.1
O1984,Z512,Sarah Werner,Engineer,75.6
O1985,Z512,April Myers,Technician,70.8
O1986,Z512,Kaitlyn Sims,Executive,77.6
O1987,Z512,Mrs. Karen Burton MD,Employee,76.1
O1988,Z493,Anna Davis,Employee,73.0
O1989,Z493,Justin Lynch,Admin,75.4
O1990,Z493,Mr. John Turner,Coordinator,68.2
O1991,Z493,Janet Ellis,Engineer,74.0
O1992,Z493,Cheryl Nelson,Admin,71.3
O1993,Z493,Melissa Burton,Guest,69.0
O1994,Z493,Melanie Duncan,Specialist,75.3
O1995,Z408,Connie Howell,Contractor,72.3
O1996,Z408,Thomas Bauer,Admin,72.3
O1997,Z408,Andrew Christensen,Visitor,72.2
O1998,Z408,Shawn Larson,Director,77.5
O1999,Z408,Jonathan Mitchell,Specialist,71.3
O2000,Z408,John Benson,Analyst,69.1
O2001,Z408,Dr. Kari Patrick MD,Guest,75.0
O2002,Z408,Christopher Cook,Researcher,77.0
O2003,Z408,Joyce Flores,Guest,68.6
O2004,Z063,Joel Wright,Researcher,73.3
O2005,Z063,Margaret Sanchez,Director,75.3
O2006,Z063,Sue Turner,Contractor,73.6
O2007,Z620,Erik Forbes,Analyst,73.4
O2008,Z620,Nicholas Kirby,Contractor,73.5
O2009,Z620,Elizabeth Powers,Researcher,69.6
O2010,Z620,Edward Anderson,Director,72.0
O2011,Z620,Lee Griffin,Director,74.5
O2012,Z620,Krystal Greene,Contractor,73.8
O2013,Z968,Valerie Richards,Guest,73.5
O2014,Z968,Jamie Patton MD,Guest,72.4
O2015,Z968,Jessica Wong,Specialist,74.6
O2016,Z968,Jeff Brown,Technician,72.9
O2017,Z968,Alicia Mccullough,Technician,72.0
O2018,Z968,Garrett Haley,Specialist,75.5
O2019,Z968,Matthew Gaines,Coordinator,68.8
O2020,Z968,Jacqueline Johnston,Employee,70.9
O2021,Z968,Catherine Johnson,Director,72.8
O2022,Z968,Steven Nelson,Coordinator,75.0
O2023,Z968,Melissa Hernandez,Executive,71.2
O2024,Z968,Christina Underwood,Engineer,69.4
O2025,Z968,Alvin Chaney,Admin,69.6
O2026,Z968,Zachary Gonzales,Contractor,77.1
O2027,Z968,Alexa Holt,Researcher,69.4
O2028,Z461,Lauren Miller,Visitor,77.8
O2029,Z461,Julie Turner,Coordinator,77.5
O2030,Z461,Richard Carpenter,Specialist,69.9
O2031,Z461,Billy Robertson,Executive,77.0
O2032,Z461,Samantha Scott,Manager,73.5
O2033,Z461,Alisha Hunt,Admin,76.6
O2034,Z461,James Sandoval,Manager,74.9
O2035,Z461,Rachel Montgomery,Specialist,69.5
O2036,Z461,Mary Pennington,Manager,68.6
O2037,Z461,Kimberly Day,Coordinator,77.2
O2038,Z461,Diana Zhang,Executive,74.6
O2039,Z461,Thomas Dixon,Executive,70.0
O2040,Z461,Jessica Nguyen,Coordinator,71.4
O2041,Z461,Lynn Ayala,Manager,77.1
O2042,Z461,Savannah Hines,Guest,70.8
O2043,Z525,Douglas Cantrell,Engineer,69.6
O2044,Z525,James Alexander,Manager,69.9
O2045,Z525,Thomas Perez,Technician,70.0
O2046,Z525,Jasmine Barber,Employee,74.8
O2047,Z525,Nicole Myers,Coordinator,71.2
O2048,Z525,Mr. John Larson Jr.,Director,71.2
O2049,Z525,Laura Collins,Specialist,70.9
O2050,Z525,Barbara Horn,Admin,72.8
O2051,Z525,Kelsey King,Contractor,75.9
O2052,Z525,Cynthia Thompson,Executive,76.6
O2053,Z525,Tamara Wilkerson,Guest,72.8
O2054,Z525,Virginia Guzman,Director,71.9
O2055,Z525,Jon Thompson,Coordinator,77.4
O2056,Z948,Bryan Obrien,Guest,73.5
O2057,Z948,Kathleen Castro,Employee,69.3
O2058,Z948,Jeremiah Porter,Executive,68.7
O2059,Z948,Jay Jackson,Guest,76.4
O2060,Z948,Dr. Nathaniel Walls MD,Visitor,68.4
O2061,Z948,Raven Johnson,Executive,71.8
O2062,Z948,Rodney Walker,Coordinator,76.2
O2063,Z948,Christopher Boyd,Researcher,71.8
O2064,Z948,April Nelson,Contractor,68.5
O2065,Z267,Daniel Smith,Guest,76.1
O2066,Z267,Sharon Riley,Specialist,74.1
O2067,Z267,Lauren Smith,Coordinator,77.1
O2068,Z267,Todd Trevino DDS,Technician,70.4
O2069,Z267,Mrs. Alexandra Johnson,Manager,69.2
O2070,Z267,Janet Allen,Director,69.8
O2071,Z267,Grace Castro,Contractor,74.3
O2072,Z267,Patricia Foster,Specialist,68.5
O2073,Z267,Jennifer Castro,Executive,76.9
O2074,Z267,William Jones,Researcher,70.8
O2075,Z267,Timothy Roberson,Guest,75.6
O2076,Z039,Joyce Graves,Researcher,72.3
O2077,Z039,Ronald Lee,Admin,74.3
O2078,Z039,Mark Cannon,Director,74.2
O2079,Z039,James Miller,Employee,77.7
O2080,Z039,David Gardner,Guest,72.3
O2081,Z039,Danny Parker,Coordinator,76.2
O2082,Z039,Bradley Roberts,Visitor,70.6
O2083,Z039,Dana Gregory,Coordinator,75.4
O2084,Z039,Theresa Reed,Manager,77.9
O2085,Z039,Caroline Gamble,Analyst,77.5
O2086,Z039,Alex Lara,Researcher,68.2
O2087,Z039,Jeffrey Smith,Visitor,77.9
O2088,Z906,Laura Fleming,Specialist,71.2
O2089,Z906,Adam Morales,Coordinator,76.0
O2090,Z906,Ruth Carney,Admin,76.6
O2091,Z906,Carla Ortiz,Technician,68.2
O2092,Z906,Jordan Cook PhD,Specialist,70.0
O2093,Z906,Crystal King,Manager,68.3
O2094,Z754,John Medina,Specialist,71.1
O2095,Z754,Laura Schroeder,Specialist,68.5
O2096,Z754,Lisa Rodriguez,Manager,76.2
O2097,Z754,William Williams,Director,70.4
O2098,Z754,Alexis Weber,Engineer,72.6
O2099,Z754,Chelsea Webster,Engineer,71.6
O2100,Z754,Dr. Theresa Cox,Executive,72.4
O2101,Z754,Jeffrey Williams,Manager,75.5
O2102,Z754,Brandy Banks,Employee,69.4
O2103,Z754,Paula Fleming,Analyst,72.3
O2104,Z313,Andrea Casey,Admin,75.3
O2105,Z313,Brett Vasquez,Visitor,71.0
O2106,Z313,Eddie Fuller,Guest,76.0
O2107,Z313,William Mcguire,Executive,71.2
O2108,Z313,Melody Thomas,Guest,70.1
O2109,Z313,Bailey Woodard,Specialist,68.9
O2110,Z313,Kenneth Brooks,Employee,77.0
O2111,Z313,Beth Green,Technician,69.6
O2112,Z313,Jean Schmidt,Employee,75.0
O2113,Z313,Eduardo Wright,Employee,70.0
O2114,Z313,Laura Garcia,Coordinator,71.3
O2115,Z313,Gregory Braun,Coordinator,74.8
O2116,Z313,Frank Kelly,Employee,73.4
O2117,Z313,Jeff Sanchez,Coordinator,71.3
O2118,Z313,Dawn Johnson,Analyst,77.3
O2119,Z415,Deborah Smith,Researcher,71.5
O2120,Z415,Lynn Sosa,Contractor,75.8
O2121,Z415,Collin Gardner,Director,77.3
O2122,Z415,Carla Montes,Technician,70.2
O2123,Z415,Charles Moran,Analyst,77.0
O2124,Z415,James Johnson,Specialist,75.4
O2125,Z415,Barry Lara Jr.,Coordinator,74.4
O2126,Z415,Mary Beltran,Executive,68.9
O2127,Z415,Jason Brown,Analyst,73.7
O2128,Z415,Laura Harris,Coordinator,76.1
O2129,Z733,Mathew Mitchell,Engineer,75.7
O2130,Z733,Rebekah Martin,Admin,76.0
O2131,Z733,John Holt,Coordinator,74.0
O2132,Z733,Matthew Smith,Executive,68.9
O2133,Z733,Cynthia Santos,Engineer,77.5
O2134,Z733,Gary Perez,Researcher,70.8
O2135,Z733,Nancy White,Manager,70.0
